;ID;RegioS;Perioden;TotaleOppervlakte_1;TotaalVerkeersterrein_2;Spoorterrein_3;Wegverkeersterrein_4;Vliegveld_5;TotaalBebouwdTerrein_6;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;Bedrijventerrein_11;TotaalSemiBebouwdTerrein_12;Stortplaats_13;Wrakkenopslagplaats_14;Begraafplaats_15;Delfstofwinplaats_16;Bouwterrein_17;SemiVerhardOverigTerrein_18;TotaalRecreatieterrein_19;ParkEnPlantsoen_20;Sportterrein_21;Volkstuin_22;DagrecreatiefTerrein_23;VerblijfsrecreatiefTerrein_24;TotaalAgrarischTerrein_25;TerreinVoorGlastuinbouw_26;OverigAgrarischTerrein_27;TotaalBosEnOpenNatuurlijkTerrein_28;Bos_29;OpenDroogNatuurlijkTerrein_30;OpenNatNatuurlijkTerrein_31;TotaalBinnenwater_32;IJsselmeerMarkermeer_33;AfgeslotenZeearm_34;RijnEnMaas_35;Randmeer_36;Spaarbekken_37;RecreatiefBinnenwater_38;BinnenwaterVoorDelfstofwinning_39;VloeiEnOfSlibveld_40;OverigBinnenwater_41;TotaalBuitenwater_42;WaddenzeeEemsDollard_43;Oosterschelde_44;Westerschelde_45;Noordzee_46
4368;4368;Oostburg;1996;22328.0;608.0;0.0;608.0;0.0;489.0;393.0;16.0;13.0;17.0;50.0;95.0;0.0;0.0;8.0;0.0;26.0;61.0;397.0;48.0;90.0;4.0;4.0;251.0;17849.0;0.0;17849.0;321.0;70.0;207.0;44.0;166.0;;;;;0.0;14.0;0.0;0.0;152.0;2403.0;;0.0;2151.0;252.0
4369;4369;Oostburg;2000;22325.0;613.0;0.0;613.0;0.0;502.0;403.0;17.0;13.0;18.0;51.0;146.0;0.0;0.0;8.0;4.0;72.0;63.0;443.0;71.0;91.0;4.0;4.0;273.0;17717.0;0.0;17717.0;357.0;78.0;237.0;43.0;172.0;;;;;0.0;14.0;3.0;0.0;155.0;2375.0;;;2151.0;224.0
4370;4370;Oostburg;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4371;4371;Oostburg;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4372;4372;Oostburg;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4373;4373;Oostburg;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4374;4374;Oostburg;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4375;4375;Oostburg;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4376;4376;Oosterhesselen;1996;6884.0;148.0;0.0;148.0;0.0;146.0;131.0;0.0;0.0;13.0;2.0;18.0;1.0;0.0;3.0;4.0;10.0;0.0;71.0;12.0;16.0;2.0;0.0;41.0;5685.0;0.0;5685.0;763.0;645.0;110.0;7.0;53.0;;;;;0.0;0.0;0.0;0.0;53.0;;;;;
4377;4377;Oosterhesselen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
